case_name,citation,court,year,case_status,keywords
R v Dlamini,SZHC 45/2018,SZHC,2018,active,criminal assault weapons
R v Nxumalo,SZHC 12/2019,SZHC,2019,active,murder trial procedure
S v Nkosi,HC 23/2015,HC,2015,active,fraud theft
S v Mabuza,[2016] SZHC 8,SZHC,2016,active,drugs trafficking
R v Shongwe,SZHC 67/2020,SZHC,2020,active,robbery arms
Masuku v Attorney General,SZHC 34/2017,SZHC,2017,active,constitutional law
Dlamini v Minister of Justice,SZHC 89/2019,SZHC,2019,active,judicial review
S v Dlamini,HC 12/2014,HC,2014,overruled,criminal procedure appeal
R v Maseko,SZHC 56/2021,SZHC,2021,active,criminal law
S v Zwane,[2018] HC 5,HC,2018,active,theft corruption
Ndzimande v S,HC 78/2016,HC,2016,active,criminal appeal
R v Simelane,SZHC 23/2022,SZHC,2022,active,dangerous drugs
Mkhule v Minister of Health,SZHC 45/2015,SZHC,2015,active,constitutional right to health
S v Khumalo,HC 34/2020,HC,2020,distinguished,criminal evidence
R v Dube,SZHC 91/2018,SZHC,2018,active,murder intent
Attorney General v Swazi News,SZHC 15/2019,SZHC,2019,active,media freedom defamation
S v Ndzimande,SZHC 8/2021,SZHC,2021,active,criminal procedure
Mthethwa v Minister of Home Affairs,SZHC 72/2017,SZHC,2017,active,citizenship rights
R v Tsabede,HC 67/2016,HC,2016,active,criminal assault
S v Simelane,[2019] SZHC 3,SZHC,2019,amended,criminal sentencing
Nhlengetfwe v Minister of Finance,SZHC 34/2020,SZHC,2020,active,financial administration
R v Ngwenya,SZHC 56/2018,SZHC,2018,active,armed robbery
S v Mazibuko,HC 89/2021,HC,2021,active,fraud money laundering
Gumede v Swaziland Development,SZHC 12/2015,SZHC,2015,active,administrative law
S v Dlamini,[2017] HC 12,HC,2017,active,criminal procedure
R v Nkosi,SZHC 45/2019,SZHC,2019,active,drugs possession
Mthombeni v Minister of Education,SZHC 78/2020,SZHC,2020,active,right to education
S v Zwane,HC 23/2018,HC,2018,active,criminal law assault
R v Shongwe,[2020] SZHC 7,SZHC,2020,active,criminal evidence
Ndzimande v Attorney General,SZHC 34/2016,SZHC,2016,active,constitutional law
S v Nxumalo,HC 56/2019,HC,2019,active,fraud corruption
Matsapa v Minister of Agriculture,SZHC 67/2017,SZHC,2017,active,land rights
R v Dlamini,[2014] HC 8,HC,2014,overruled,criminal procedure
S v Mkhumalo,SZHC 89/2021,SZHC,2021,active,criminal law theft
Mthembu v Swaziland Revenue,SZHC 12/2018,SZHC,2018,active,tax law revenue
R v Simelane,[2019] SZHC 14,SZHC,2019,active,dangerous drugs
S v Dube,HC 45/2020,HC,2020,distinguished,criminal procedure
Ngwenya v Minister of Labour,SZHC 56/2015,SZHC,2015,active,labour law rights
S v Khumalo,[2016] HC 9,HC,2016,active,criminal appeal
Makhubu v Minister of Justice,SZHC 78/2019,SZHC,2019,active,judicial review
R v Zwane,SZHC 34/2022,SZHC,2022,active,criminal assault
S v Maseko,HC 12/2017,HC,2017,active,fraud forgery
Dlamini v Swaziland Broadcasting,SZHC 45/2018,SZHC,2018,active,freedom of expression
R v Ndzimande,[2021] SZHC 6,SZHC,2021,active,armed robbery
S v Tsabede,HC 67/2019,HC,2019,active,criminal law drugs
Mthethwa v Minister of Public Works,SZHC 91/2020,SZHC,2020,active,land acquisition
R v Mazibuko,SZHC 23/2016,SZHC,2016,active,criminal murder
S v Ngwenya,HC 78/2021,HC,2021,active,criminal theft
Gumedze v Minister of Health,[2015] SZHC 11,SZHC,2015,active,constitutional health
R v Nkosi,[2018] HC 4,HC,2018,active,criminal procedure
